Rank;Imdb;Metascore;Filme;Votos;Ano
1;9.0;84; Batman: O Cavaleiro das Trevas;2,574,316;2008
2;8.8;74; A Origem;2,283,870;2010
3;9.2;; Game of Thrones;2,000,941;2011–2019
4;8.8;92; O Senhor dos Anéis: A Sociedade do Anel;1,808,498;2001
5;9.0;94; O Senhor dos Anéis: O Retorno do Rei;1,787,439;2003
6;9.5;; Breaking Bad;1,755,215;2008–2013
7;8.6;74; Interestelar;1,745,349;2014
8;8.4;78; Batman: O Cavaleiro das Trevas Ressurge;1,662,099;2012
9;8.8;87; O Senhor dos Anéis: As Duas Torres;1,614,261;2002
10;8.4;81; Django Livre;1,505,214;2012
11;8.5;67; Gladiador;1,462,220;2000
12;8.2;70; Batman Begins;1,434,858;2005
13;8.3;69; Bastardos Inglórios;1,403,621;2009
14;8.0;69; The Avengers - Os Vingadores;1,361,760;2012
15;8.2;75; O Lobo de Wall Street;1,352,135;2013
16;8.5;66; O Grande Truque;1,300,563;2006
17;8.5;85; Os Infiltrados;1,293,652;2006
18;8.2;63; Ilha do Medo;1,267,058;2010
19;8.4;80; Amnésia;1,212,466;2000
20;7.8;83; Avatar;1,208,634;2009
21;8.4;59; Coringa;1,206,969;I 2019
22;8.0;76; Guardiões da Galáxia;1,147,555;2014
23;8.2;62; V de Vingança;1,103,073;2005
24;8.1;63; Piratas do Caribe: A Maldição do Pérola Negra;1,101,005;2003
25;8.4;95; WALL·E;1,090,156;2008
26;8.2;69; Kill Bill: Volume 1;1,089,814;2003
27;8.4;78; Vingadores: Ultimato;1,067,350;2019
28;8.7;; Stranger Things;1,053,320;2016– 
29;7.9;79; Homem de Ferro;1,033,320;2008
30;8.4;68; Vingadores: Guerra Infinita;1,026,916;2018
31;8.2;90; Procurando Nemo;1,022,650;2003
32;8.3;88; Up: Altas Aventuras;1,019,876;2009
33;8.0;65; Deadpool;1,004,456;2016
34;8.3;89; Brilho Eterno de uma Mente sem Lembranças;985,887;2004
35;8.1;90; Mad Max: Estrada da Fúria;975,530;2015
36;8.1;79; Garota Exemplar;957,594;2014
37;8.2;; The Walking Dead;951,936;2010–2022
38;8.2;92; Onde os Fracos Não Têm Vez;947,223;2007
39;8.1;75; Prenda-me se for Capaz;946,471;2002
40;8.2;72; Uma Mente Brilhante;915,156;2001
41;7.8;80; Star Wars: O Despertar da Força;914,359;2015
42;7.2;68; Jogos Vorazes;902,248;2012
43;9.1;; Sherlock;898,454;2010–2017
44;8.1;79; Monstros S.A.;888,710;2001
45;8.1;85; Harry Potter e as Relíquias da Morte - Parte 2;852,111;2011
46;8.3;55; Snatch: Porcos e Diamantes;840,080;2000
47;7.3;66; Vingadores: Era de Ultron;839,187;2015
48;8.5;57; Intocáveis;836,412;2011
49;8.0;84; Quem Quer Ser um Milionário?;835,992;2008
50;8.0;80; Perdido em Marte;833,019;2015
51;7.1;62; Homem de Ferro 3;830,534;2013
52;8.3;68; Réquiem para um Sonho;825,147;2000
53;6.9;66; Capitão América: O Primeiro Vingador;824,789;2011
54;7.0;57; Thor;823,631;2011
55;7.8;70; Capitão América 2 - O Soldado Invernal;822,549;2014
56;8.3;92; Toy Story 3;818,730;2010
57;8.5;88; Whiplash: Em Busca da Perfeição;817,512;2014
58;7.7;96; Gravidade;814,484;2013
59;8.5;85; O Pianista;809,954;2002
60;7.8;58; O Hobbit: Uma Jornada Inesperada;806,915;2012
61;7.6;52; 300;806,669;2006
62;7.4;73; Homem-Aranha;799,672;2002
63;6.9;57; Homem de Ferro 2;798,071;2010
64;8.0;88; Donnie Darko;787,296;2001
65;8.2;; Big Bang: A Teoria;786,964;2007–2019
66;8.1;88; O Grande Hotel Budapeste;786,724;2014
67;8.0;76; O Regresso;782,926;2015
68;7.6;68; Star Wars, Episódio III: A Vingança dos Sith;772,622;2005
69;7.7;73; Se Beber, Não Case!;771,010;2009
70;8.1;72; Gran Torino;764,762;2008
71;8.0;74; Sin City: A Cidade do Pecado;762,016;2005
72;7.8;75; Capitão América: Guerra Civil;760,935;2016
73;7.6;65; Harry Potter e a Pedra Filosofal;757,278;2001
74;7.1;55; O Homem de Aço;757,267;2013
75;8.5;96; Parasita;753,558;2019
76;8.0;71; O Jogo da Imitação;753,539;2014
77;8.0;79; Cisne Negro;750,194;2010
78;8.3;69; O Fabuloso Destino de Amélie Poulain;746,006;2001
79;8.6;79; Cidade de Deus;744,180;2002
80;7.2;65; Eu Sou a Lenda;742,459;2007
81;8.0;83; Kill Bill: Volume 2;740,745;2004
82;8.6;96; A Viagem de Chihiro;737,923;2001
83;8.1;77; Logan;736,133;2017
84;7.3;88; Pantera Negra;728,750;2018
85;8.1;75; Como Treinar o Seu Dragão;724,371;2010
86;8.0;90; Os Incríveis;716,388;2004
87;7.5;72; Doutor Estranho;715,685;2016
88;8.7;; Dexter;714,426;2006–2013
89;8.1;96; Ratatouille;710,686;2007
90;7.9;74; Thor: Ragnarok;707,982;2017
91;9.4;; Chernobyl;706,483;2019
92;7.3;53; Piratas do Caribe: O Baú da Morte;705,312;2006
93;7.9;75; X-Men: Dias de um Futuro Esquecido;701,584;2014
94;7.7;81; O Lado Bom da Vida;700,999;2012
95;7.6;83; Era Uma Vez Em... Hollywood;695,705;2019
96;6.6;54; Star Wars, Episódio II: Ataque dos Clones;695,669;2002
97;8.2;94; Divertida Mente;693,034;I 2015
98;8.1;96; 12 Anos de Escravidão;689,069;2013
99;6.4;44; Batman vs Superman: A Origem da Justiça;688,660;2016
100;7.8;81; 007 - Operação Skyfall;687,980;2012
101;7.8;95; A Rede Social;687,191;2010
102;8.1;70; Os Suspeitos;685,858;2013
103;7.7;65; X-Men: Primeira Classe;683,271;2011
104;8.1;86; Menina de Ouro;678,072;2004
105;5.9;40; Esquadrão Suicida;674,845;2016
106;7.9;81; A Chegada;674,120;II 2016
107;8.0;88; O Discurso do Rei;673,163;2010
108;7.9;81; Distrito 9;673,112;2009
109;8.3;; Como Eu Conheci Sua Mãe;666,532;2005–2014
110;7.9;84; Shrek;663,116;2001
111;6.8;54; Thor: O Mundo Sombrio;663,059;2013
112;7.9;71; No Limite do Amanhã;661,139;2014
113;8.2;98; O Labirinto do Fauno;658,859;2006
114;7.6;67; Guardiões da Galáxia Vol. 2;656,835;2017
115;7.7;60; Kingsman: Serviço Secreto;655,523;2014
116;7.5;76; Jogos Vorazes: Em Chamas;654,125;2013
117;7.0;63; Guerra Mundial Z;652,037;2013
118;8.0;80; 007: Cassino Royale;647,862;2006
119;7.3;64; Homem-Formiga;646,981;2015
120;7.2;50; Truque de Mestre;646,356;I 2013
121;7.8;66; O Hobbit: A Desolação de Smaug;646,015;2013
122;6.9;66; O Espetacular Homem-Aranha;643,284;2012
123;7.4;76; Mulher-Maravilha;642,015;2017
124;7.1;50; Piratas do Caribe: No Fim do Mundo;640,054;2007
125;7.8;70; O Curioso Caso de Benjamin Button;638,641;2008
126;7.4;83; Homem-Aranha 2;637,443;2004
127;7.8;94; Dunkirk;637,123;2017
128;7.4;73; Homem-Aranha: De Volta ao Lar;634,071;2017
129;6.9;59; Jurassic World: O Mundo dos Dinossauros;630,081;2015
130;7.0;61; Transformers;629,316;2007
131;8.0;85; O Ultimato Bourne;629,174;2007
132;7.6;57; Sherlock Holmes;623,927;2009
133;7.8;78; Drive;622,339;I 2011
134;7.7;87; Birdman ou (A Inesperada Virtude da Ignorância);620,522;2014
135;7.9;79; As Aventuras de Pi;619,736;2012
136;7.4;63; Harry Potter e a Câmara Secreta;619,050;2002
137;7.9;82; Harry Potter e o Prisioneiro de Azkaban;618,258;2004
