Rank;Imdb;Metascore;Filme;Votos;Ano
1;9.0;84; Batman: O Cavaleiro das Trevas;2,574,686;2008
2;8.8;74; A Origem;2,284,131;2010
3;9.2;; Game of Thrones;2,001,339;2011–2019
4;8.8;92; O Senhor dos Anéis: A Sociedade do Anel;1,808,694;2001
5;9.0;94; O Senhor dos Anéis: O Retorno do Rei;1,787,635;2003
6;9.5;; Breaking Bad;1,755,868;2008–2013
7;8.6;74; Interestelar;1,745,686;2014
8;8.4;78; Batman: O Cavaleiro das Trevas Ressurge;1,662,301;2012
9;8.8;87; O Senhor dos Anéis: As Duas Torres;1,614,434;2002
10;8.4;81; Django Livre;1,505,428;2012
11;8.5;67; Gladiador;1,462,396;2000
12;8.2;70; Batman Begins;1,435,034;2005
13;8.3;69; Bastardos Inglórios;1,403,814;2009
14;8.0;69; The Avengers - Os Vingadores;1,361,878;2012
15;8.2;75; O Lobo de Wall Street;1,352,382;2013
16;8.5;66; O Grande Truque;1,300,717;2006
17;8.5;85; Os Infiltrados;1,293,792;2006
18;8.2;63; Ilha do Medo;1,267,244;2010
19;8.4;80; Amnésia;1,212,580;2000
20;7.8;83; Avatar;1,208,770;2009
21;8.4;59; Coringa;1,207,303;I 2019
22;8.0;76; Guardiões da Galáxia;1,147,698;2014
23;8.2;62; V de Vingança;1,103,148;2005
24;8.1;63; Piratas do Caribe: A Maldição do Pérola Negra;1,101,178;2003
25;8.4;95; WALL·E;1,090,286;2008
26;8.2;69; Kill Bill: Volume 1;1,089,920;2003
27;8.4;78; Vingadores: Ultimato;1,067,690;2019
28;8.7;; Stranger Things;1,054,150;2016– 
29;7.9;79; Homem de Ferro;1,033,450;2008
30;8.4;68; Vingadores: Guerra Infinita;1,027,187;2018
31;8.2;90; Procurando Nemo;1,022,752;2003
32;8.3;88; Up: Altas Aventuras;1,019,995;2009
33;8.0;65; Deadpool;1,004,622;2016
34;8.3;89; Brilho Eterno de uma Mente sem Lembranças;985,960;2004
35;8.1;90; Mad Max: Estrada da Fúria;975,637;2015
36;8.1;79; Garota Exemplar;957,710;2014
37;8.2;; The Walking Dead;952,089;2010–2022
38;8.2;92; Onde os Fracos Não Têm Vez;947,316;2007
39;8.1;75; Prenda-me se for Capaz;946,620;2002
40;8.2;72; Uma Mente Brilhante;915,241;2001
41;7.8;80; Star Wars: O Despertar da Força;914,473;2015
42;7.2;68; Jogos Vorazes;902,315;2012
43;9.1;; Sherlock;898,562;2010–2017
44;8.1;79; Monstros S.A.;888,825;2001
45;8.1;85; Harry Potter e as Relíquias da Morte - Parte 2;852,227;2011
46;8.3;55; Snatch: Porcos e Diamantes;840,143;2000
47;7.3;66; Vingadores: Era de Ultron;839,302;2015
48;8.5;57; Intocáveis;836,506;2011
49;8.0;84; Quem Quer Ser um Milionário?;836,026;2008
50;8.0;80; Perdido em Marte;833,119;2015
